SIM,Tipo,Configurazione,CL,Cd,Path
RESULT_LUCA,noNose,naca4412_be123-076,-1.320518,0.182784,RESULT_LUCA/noNose/naca4412_be123-076/results.txt
RESULT_LUCA,noNose,s1223_be092-075,-1.078501,0.240538,RESULT_LUCA/noNose/s1223_be092-075/results.txt
RESULT_LUCA,noNose,s1223_goe431,-1.063827,0.24268,RESULT_LUCA/noNose/s1223_goe431/results.txt
RESULT_LUCA,noNose,be153-076_be092-075,-0.999305,0.227667,RESULT_LUCA/noNose/be153-076_be092-075/results.txt
RESULT_LUCA,noNose,naca4412_wortmannfx082-512,-1.265712,0.166009,RESULT_LUCA/noNose/naca4412_wortmannfx082-512/results.txt
RESULT_LUCA,noNose,naca4412_be092-075,-1.333973,0.0,RESULT_LUCA/noNose/naca4412_be092-075/results.txt
RESULT_LUCA,noNose,s1223_be123-076,-1.05769,0.241167,RESULT_LUCA/noNose/s1223_be123-076/results.txt
RESULT_LUCA,noNose,be153-076_eppler61,-1.04948,0.227001,RESULT_LUCA/noNose/be153-076_eppler61/results.txt
RESULT_LUCA,noNose,s1223_wortmannfx082-512,-1.021622,0.230195,RESULT_LUCA/noNose/s1223_wortmannfx082-512/results.txt
RESULT_LUCA,noNose,s1223_eppler61,-1.111048,0.241172,RESULT_LUCA/noNose/s1223_eppler61/results.txt
RESULT_LUCA,noNose,naca4412_goe431,-2.377692,0.278343,RESULT_LUCA/noNose/naca4412_goe431/results.txt
RESULT_LUCA,noNose,naca4412_s1210,-1.358925,0.189118,RESULT_LUCA/noNose/naca4412_s1210/results.txt
RESULT_LUCA,withNose,be153-076_be092-075_naso,-2.038804,0.350885,RESULT_LUCA/withNose/be153-076_be092-075_naso/results.txt
RESULT_LUCA,withNose,naca4412_goe431_naso,-2.377692,0.278343,RESULT_LUCA/withNose/naca4412_goe431_naso/results.txt
RESULT_LUCA,withNose,s1223_be092-075_naso,-2.31719,0.359914,RESULT_LUCA/withNose/s1223_be092-075_naso/results.txt
RESULT_LUCA,withNose,be153-076_s1210_naso,-2.054082,0.36439,RESULT_LUCA/withNose/be153-076_s1210_naso/results.txt
RESULT_LUCA,withNose,s1223_s1210_naso,-2.294564,0.367935,RESULT_LUCA/withNose/s1223_s1210_naso/results.txt
RESULT_LUCA,withNose,s1223_be123-076_naso,-2.28369,0.365334,RESULT_LUCA/withNose/s1223_be123-076_naso/results.txt
RESULT_LUCA,withNose,be153-076_wortmannfx082-512_naso,-1.990111,0.332592,RESULT_LUCA/withNose/be153-076_wortmannfx082-512_naso/results.txt
RESULT_LUCA,withNose,be153-076_eppler61_naso,-2.01772,0.340548,RESULT_LUCA/withNose/be153-076_eppler61_naso/results.txt
RESULT_LUCA,withNose,be153-076_be123-076_naso,-2.09426,0.363884,RESULT_LUCA/withNose/be153-076_be123-076_naso/results.txt
RESULT_LUCA,withNose,be153-076_goe431_naso,-2.055137,0.365361,RESULT_LUCA/withNose/be153-076_goe431_naso/results.txt
RESULT_LUCA,withNose,naca4412_s1210_naso,-2.450294,0.277979,RESULT_LUCA/withNose/naca4412_s1210_naso/results.txt
RESULT_LUCA,withNose,s1223_goe431_naso,-2.304504,0.367132,RESULT_LUCA/withNose/s1223_goe431_naso/results.txt
RESULT_LUCA,withNose,naca4412_be092-075_naso,-2.103592,0.260638,RESULT_LUCA/withNose/naca4412_be092-075_naso/results.txt
RESULT_LUCA,withNose,naca4412_be123-076_naso,-2.47598,0.275084,RESULT_LUCA/withNose/naca4412_be123-076_naso/results.txt
RESULT_LUCA,withNose,s1223_wortmannfx082-512_naso,-2.264927,0.336986,RESULT_LUCA/withNose/s1223_wortmannfx082-512_naso/results.txt
