SIM,Tipo,Configurazione,CL,Cd,Path
Results_1,Naso,Be_153_055_Be_092_075_Naso,-2.206502203,0.3086846647,Results_1\Naso\Be_153_055_Be_092_075_Naso\Result.txt
Results_1,Naso,Be_153_055_Be_123_076_Naso,-2.22311123,0.3140009976,Results_1\Naso\Be_153_055_Be_123_076_Naso\Result.txt
Results_1,Naso,Be_153_055_Eppler_61_Naso,-2.168407,0.298664,Results_1\Naso\Be_153_055_Eppler_61_Naso\Result.txt
Results_1,Naso,Be_153_055_Goe431_Naso,-2.223505119,0.3177791156,Results_1\Naso\Be_153_055_Goe431_Naso\Result.txt
Results_1,Naso,Be_153_055_S1210_Naso,-2.22688641,0.3179408146,Results_1\Naso\Be_153_055_S1210_Naso\Result.txt
Results_1,Naso,Be_153_055_WortmannFx_082_512_Naso,-2.123880375,0.2848098566,Results_1\Naso\Be_153_055_WortmannFx_082_512_Naso\Result.txt
Results_1,Naso,Be_183_105_Be_092_075_Naso,-1.099209,0.381549,Results_1\Naso\Be_183_105_Be_092_075_Naso\Result.txt
Results_1,Naso,Be_183_105_Be_123_076_Naso,-1.116166875,0.3903428634,Results_1\Naso\Be_183_105_Be_123_076_Naso\Result.txt
Results_1,Naso,Be_183_105_Eppler_61_Naso,-1.074703,0.37117,Results_1\Naso\Be_183_105_Eppler_61_Naso\Result.txt
Results_1,Naso,Be_183_105_Goe431_Naso,-1.121596,0.393909,Results_1\Naso\Be_183_105_Goe431_Naso\Result.txt
Results_1,Naso,Be_183_105_S1210_Naso,-1.120219,0.392542,Results_1\Naso\Be_183_105_S1210_Naso\Result.txt
Results_1,Naso,Be_183_105_WortmannFx_082_512_Naso,-1.054553787,0.3639459805,Results_1\Naso\Be_183_105_WortmannFx_082_512_Naso\Result.txt
Results_1,Naso,Eppler_396_Be_092_075_Naso,-2.36837643,0.3047731766,Results_1\Naso\Eppler_396_Be_092_075_Naso\Result.txt
Results_1,Naso,Eppler_396_Be_123_076_Naso,-2.380673487,0.3085449269,Results_1\Naso\Eppler_396_Be_123_076_Naso\Result.txt
Results_1,Naso,Eppler_396_Eppler_61_Naso,-2.341382696,0.2885041174,Results_1\Naso\Eppler_396_Eppler_61_Naso\Result.txt
Results_1,Naso,Eppler_396_Goe431_Naso,-2.365635806,0.3133186128,Results_1\Naso\Eppler_396_Goe431_Naso\Result.txt
Results_1,Naso,Eppler_396_S1210_Naso,-2.364638076,0.3105035557,Results_1\Naso\Eppler_396_S1210_Naso\Result.txt
Results_1,Naso,Eppler_396_WortmannFx_082_512_Naso,-2.284515612,0.2772292264,Results_1\Naso\Eppler_396_WortmannFx_082_512_Naso\Result.txt
Results_1,No Naso,Be_153_055_Be_092_075,-1.112736651,0.2216693465,Results_1\No Naso\Be_153_055_Be_092_075\Result.txt
Results_1,No Naso,Be_153_055_Be_123_076,-1.071355198,0.212896316,Results_1\No Naso\Be_153_055_Be_123_076\Result.txt
Results_1,No Naso,Be_153_055_Eppler_61,-1.117139411,0.2146791564,Results_1\No Naso\Be_153_055_Eppler_61\Result.txt
Results_1,No Naso,Be_153_055_Goe431,-1.08093602,0.2175654747,Results_1\No Naso\Be_153_055_Goe431\Result.txt
Results_1,No Naso,Be_153_055_S1210,-1.105693024,0.2235559762,Results_1\No Naso\Be_153_055_S1210\Result.txt
Results_1,No Naso,Be_153_055_WortmannFx_082_512,-1.050070051,0.2072841572,Results_1\No Naso\Be_153_055_WortmannFx_082_512\Result.txt
Results_1,No Naso,Be_183_105_Be_092_075,-0.0914719764,0.2252180251,Results_1\No Naso\Be_183_105_Be_092_075\Result.txt
Results_1,No Naso,Be_183_105_Be_123_076,-0.08793082203,0.2235674205,Results_1\No Naso\Be_183_105_Be_123_076\Result.txt
Results_1,No Naso,Be_183_105_Eppler_61,-0.1121179634,0.2241760225,Results_1\No Naso\Be_183_105_Eppler_61\Result.txt
Results_1,No Naso,Be_183_105_Goe431,-0.09922792796,0.2259483713,Results_1\No Naso\Be_183_105_Goe431\Result.txt
Results_1,No Naso,Be_183_105_S1210,-0.08880164815,0.2269329829,Results_1\No Naso\Be_183_105_S1210\Result.txt
Results_1,No Naso,Be_183_105_WortmannFx_082_512,-0.06632960747,0.2164184493,Results_1\No Naso\Be_183_105_WortmannFx_082_512\Result.txt
Results_1,No Naso,Eppler_396_Be_092_075,-1.208539819,0.1957182916,Results_1\No Naso\Eppler_396_Be_092_075\Result.txt
Results_1,No Naso,Eppler_396_Be_123_076,-1.205538735,0.1962500649,Results_1\No Naso\Eppler_396_Be_123_076\Result.txt
Results_1,No Naso,Eppler_396_Eppler_61,-1.24735098,0.192775546,Results_1\No Naso\Eppler_396_Eppler_61\Result.txt
Results_1,No Naso,Eppler_396_Goe431,-1.203316788,0.1952307284,Results_1\No Naso\Eppler_396_Goe431\Result.txt
Results_1,No Naso,Eppler_396_S1210,-1.242343,0.204603,Results_1\No Naso\Eppler_396_S1210\Result.txt
Results_1,No Naso,Eppler_396_WortmannFx_082_512,-1.175707236,0.1867947071,Results_1\No Naso\Eppler_396_WortmannFx_082_512\Result.txt
Results_2,be183_056_be092_075_no_naso,be183_056_be092_075_no_naso,-0.996143,0.21642,Results_2\be183_056_be092_075_no_naso\Results.txt
Results_2,be183_056_be092_075_si_naso,be183_056_be092_075_si_naso,-2.172926,0.324454,Results_2\be183_056_be092_075_si_naso\Results.txt
Results_2,be183_056_be123_076_no_naso,be183_056_be123_076_no_naso,-1.006897,0.217438,Results_2\be183_056_be123_076_no_naso\Results.txt
Results_2,be183_056_be123_076_si_naso,be183_056_be123_076_si_naso,-2.226864,0.33317,Results_2\be183_056_be123_076_si_naso\Results.txt
Results_2,be183_056_eppler61_no_naso,be183_056_eppler61_no_naso,-1.045771,0.218256,Results_2\be183_056_eppler61_no_naso\Results.txt
Results_2,be183_056_eppler61_si_naso,be183_056_eppler61_si_naso,-2.107632,0.306761,Results_2\be183_056_eppler61_si_naso\Results.txt
Results_2,be183_056_goe431_no_naso,be183_056_goe431_no_naso,-0.591781,0.208819,Results_2\be183_056_goe431_no_naso\Results.txt
Results_2,be183_056_goe431_si_naso,be183_056_goe431_si_naso,-2.230906,0.336908,Results_2\be183_056_goe431_si_naso\Results.txt
Results_2,be183_056_s1210_no_naso,be183_056_s1210_no_naso,-1.043526,0.228931,Results_2\be183_056_s1210_no_naso\results.txt
Results_2,be183_056_s1210_si_naso,be183_056_s1210_si_naso,-2.222953,0.338273,Results_2\be183_056_s1210_si_naso\results.txt
Results_2,be183_056_wortmann_no_naso,be183_056_wortmann_no_naso,-0.550447,0.196978,Results_2\be183_056_wortmann_no_naso\Results.txt
Results_2,be183_056_wortmann_si_naso,be183_056_wortmann_si_naso,-2.085331,0.297022,Results_2\be183_056_wortmann_si_naso\Results.txt
Results_2,eppler398_be092_075_no_naso,eppler398_be092_075_no_naso,-1.147991,0.206557,Results_2\eppler398_be092_075_no_naso\Results.txt
Results_2,eppler398_be092_075_si_naso,eppler398_be092_075_si_naso,-2.339048,0.303657,Results_2\eppler398_be092_075_si_naso\Results.txt
