1.00000000e+00 8.01517618e-20
9.89893400e-01 1.37606789e-03
9.79815856e-01 2.95164114e-03
9.69758747e-01 4.65383113e-03
9.59713536e-01 6.42419452e-03
9.49677298e-01 8.24434330e-03
9.39647885e-01 1.01017143e-02
9.29622937e-01 1.19832469e-02
9.19600076e-01 1.38758975e-02
9.09577413e-01 1.57694647e-02
8.99553567e-01 1.76566722e-02
8.89527195e-01 1.95304544e-02
8.79497373e-01 2.13857745e-02
8.69463623e-01 2.32197837e-02
8.59425495e-01 2.50297421e-02
8.49382549e-01 2.68129016e-02
8.39334397e-01 2.85664879e-02
8.29280661e-01 3.02877218e-02
8.19220966e-01 3.19738404e-02
8.09155126e-01 3.36230480e-02
7.99083246e-01 3.52350350e-02
7.89005455e-01 3.68096175e-02
7.78921886e-01 3.83466228e-02
7.68832770e-01 3.98466879e-02
7.58738505e-01 4.13117995e-02
7.48639509e-01 4.27440722e-02
7.38536196e-01 4.41456207e-02
7.28428928e-01 4.55182266e-02
7.18317853e-01 4.68623848e-02
7.08203070e-01 4.81782787e-02
6.98084676e-01 4.94660920e-02
6.87962770e-01 5.07260084e-02
6.77837449e-01 5.19582139e-02
6.67708812e-01 5.31628972e-02
6.57576957e-01 5.43402470e-02
6.47441982e-01 5.54904521e-02
6.37303980e-01 5.66136649e-02
6.27163015e-01 5.77097666e-02
6.17019132e-01 5.87785162e-02
6.06872378e-01 5.98196721e-02
5.96722800e-01 6.08329927e-02
5.86570440e-01 6.18181584e-02
5.76415325e-01 6.27745214e-02
5.66257474e-01 6.37013476e-02
5.56096909e-01 6.45979026e-02
5.45933650e-01 6.54634524e-02
5.35767729e-01 6.62972965e-02
5.25599204e-01 6.70988351e-02
5.15428140e-01 6.78674872e-02
5.05254602e-01 6.86026718e-02
4.95078656e-01 6.93038076e-02
4.84900370e-01 6.99702533e-02
4.74719822e-01 7.06012319e-02
4.64537091e-01 7.11959478e-02
4.54352258e-01 7.17536051e-02
4.44165401e-01 7.22734043e-02
4.33976612e-01 7.27542924e-02
